Date,Tournament,Court,Surface,Wrank,Lrank,Wage,Lage,Wheight,Lheight,Wtitles,Ltitles,Wh2h,Lh2h,winner_hand,loser_hand,winner_weight,loser_weight,winner_YTD_Won_Lost,loser_YTD_Won_Lost,winner_YTD_Titles,loser_YTD_Titles,winner_CAREER_W_L,loser_CAREER_W_L,winner_Career_Prize_Money,loser_Career_Prize_Money,Winner,Loser
2019.07.01,London,Outdoor,Grass,622,159,32,29,183,196,0,0,0,0,L,R,175,190,0/0,4/8,0,0,124/190,62/58,"$4,675,907","$1,898,609",Donald Young,Egor Gerasimov
2019.07.01,London,Outdoor,Grass,243,87,29,20,183,193,0,0,0,0,R,L,172,187,0/0,7/5,0,0,11/26,9/8,"$1,338,486","$483,923",Yasutaka Uchiyama,Jack Draper
2019.07.01,London,Outdoor,Grass,454,155,28,27,193,188,0,0,0,0,R,R,185,168,0/1,1/2,0,0,5/7,6/8,"$338,544","$984,031",Mikael Torpegaard,Nikola Milojevic
2019.07.01,London,Outdoor,Grass,320,0,33,(1,175,183,1,2,0,0,R,R,159,178,0/0,0/0,0,0,55/90,134/193,"$2,975,689","$4,253,764",Yuichi Sugita,Carlos Berlocq
2019.07.01,London,Outdoor,Grass,365,502,37,26,178,180,0,0,0,0,R,R,160,176,0/0,0/0,0,0,56/92,0/3,"$2,370,392","$318,911",Go Soeda,Filippo Baldi
2019.07.01,London,Outdoor,Grass,858,135,34,28,175,188,0,0,0,0,R,R,160,180,0/0,3/5,0,0,43/85,6/16,"$2,067,979","$1,083,859",Tim Smyczek,Mitchell Krueger
2019.07.01,London,Outdoor,Grass,1108,1450,33,40,188,191,0,4,0,0,L,R,185,181,0/0,0/0,0,0,5/22,181/225,"$1,566,128","$12,231,140",John-Patrick Smith,Nicolas Mahut
2019.07.01,London,Outdoor,Grass,357,148,25,23,180,191,0,0,0,0,R,L,172,184,0/0,1/3,0,0,2/7,7/15,"$446,494","$615,156",Akira Santillan,Jurij Rodionov
2019.07.01,London,Outdoor,Grass,529,162,26,24,175,188,0,0,0,0,R,R,155,198,0/0,1/2,0,0,8/21,11/25,"$805,480","$1,337,202",Noah Rubin,Michael Mmoh
2019.07.01,London,Outdoor,Grass,196,314,27,34,188,188,0,0,0,0,R,R,178,192,2/1,0/0,0,0,24/32,98/148,"$1,068,221","$3,601,834",Ramkumar Ramanathan,Lukas Lacko
2019.07.01,London,Outdoor,Grass,388,633,25,31,188,180,0,0,0,0,R,R,172,182,0/0,2/0,0,0,5/14,11/23,"$1,236,373","$846,390",Marc Polmans,Mohamed Safwat
2019.07.01,London,Outdoor,Grass,142,268,30,30,198,178,0,0,0,0,L,R,185,182,0/0,0/1,0,0,1/2,3/15,"$553,329","$922,248",Mats Moraing,Federico Gaio
2019.07.01,London,Outdoor,Grass,381,1031,36,37,183,175,0,0,0,0,R,R,165,144,0/0,0/0,0,0,6/18,143/195,"$1,283,774","$3,982,731",Adrian Menendez-Maceiras,Dudi Sela
2019.07.01,London,Outdoor,Grass,288,229,34,32,185,178,0,0,0,0,R,R,191,176,1/0,0/1,0,0,68/95,13/18,"$2,335,783","$1,387,412",Illya Marchenko,Marco Trungelliti
2019.07.01,London,Outdoor,Grass,1227,0,35,29,188,178,0,0,0,0,R,R,172,170,0/0,0/0,0,0,57/89,1/16,"$2,017,578","$594,280",Blaz Kavcic,Facundo Arguello
